nama,ulasan
Hasby Asshiddiqi,"Pagi-pagi main ke alun-alun Jombang, sekitar jam setengah 6. Banyak orang yang joging keliling alun-alun. Petugas kebersihan masih membersihkan area alun-alun. Jam segini mulai ada pedagang nasi pecel di sisi alun-alun yang menghadap ke masjid agung.

Fasilitas di sini ada taman, tempat bermain anak-anak, toilet. Ini untuk toilet belum tahu aktif digunakan atau tidak.

Ini foto pas weekdays, tepatnya hari Senin ya."
Muhammad Busroni,"Jantungnya Kabupaten Jombang sebagai simbol berdenyutnya kehidupan masyarakat Jombang

Suasana yang nyaman dengan udara yang bersih diiringi kicauan burung
Terdapat jogging track dan jalur sepeda sehingga cocok untuk berolah raga ringan

Beberapa gedung/bangunan berada di sekitar alun-alun ini...
Pendopo Jombang berada di sebelah timur
Di sisi utara berdiri SMPN 2, SMAN 1 dan SMKN Jombang
Masjid Agung Jombang terletak di sebelah barat
Sedangkan Stasiun Jombang berada di sebelah selatan

Tersedia pula Taman Bermain buat anak-anak
👍👍"
WulLan Meme,Saran waktu kesana hari sabtu dan minggu malam kuliner jombang buka semua..alun² juga rame banget ..tempat mainnya bagus bersih luass aman untuk anak²..
Lolok Tri Merdekawati,"Alon² diwaktu senja, suasana terang, tempat parkir mobil ada, ada play ground, ada satpol pp yg keliling, tempatnya lumayan bersih, meskipun ada beberapa sampah yg berceceran"
Eka Sulistyawati,"Banyak perbaikan dibandingkan dulu
Ada tempat bermain untuk bocah...tp seringnya tutup
Tempat duduk banyak tersedia di sekitaran alun2

Kesini pagi
Banyak yg olah raga di track pejalan kaki

Seru nya ada burung merpati di pojok sebelah timur

Rekomend buat ngabisin waktu bersama keluarga"
Nur Hajizah,"Menurutku sudah kemajuan dari tahun ke tahun. Bersih, tinggal kitanya aja sadar kebersihan buat tidak buang sampah sembarangan kalau setelah piknik. Lahan rumput banyak sekali untuk berpiknik mulai dari kalangan muda sampai yang berkeluarga. Banyak yang jualan mainan layang2 dab. Sayang, penjual makanan sekarang sepertinya sudah tidak boleh di dekat alun2. Semua dialihkan di area kuliner Jombang dekat jalan sekolah smaga, smada smkn 1. Jadi kalau mau piknik kesana hrs bawa jajan sendiri.

Untuk playgroundnya luaaas, cmn kurang tau untuk kebersihan peralatan mainnya bagaimana, krna saya liat pagi sampai malam pun masih ramai dikunjungi. Tersedia juga toilet berbayar. Banyak kursi santainya. Tempat parkir berbayar pun tertata."
TATOTARA,"Pencahayaan saat malam hari kurang banget, tempat sampah juga perlu di tambah di banyak titik Krn banyak pedagang makanan minuman di luar maupun dalam alun2."
Muhammad Nur Rofiq,"Lusa kemarin, anakku Raesha Adeeva Afsheen Myesha, aku ajak untuk mengitari seputaran alun-alun yang letak lokasinya berada di jantung Kota Jombang.

Dia ingin, aku memberhentikan motor yang aku kendarai bersamanya, namun aku menolaknya!
Pasalnya, waktu sudah sangat sore, bahkan sudah mau hujan turun pada saat itu.

Aku bilang pada anakku, ""kapan-kapan saja ya"".
Diapun hanya menjawab dengan bahasa tubuhnya ""menganggukkan kepalanya"".

Sore ini, aku berada di Alun-alun Kabupaten Jombang, dimana tempat ini disulap oleh pemerintah setempat dengan menghabiskan Anggaran Pendapatan Belanja Daerah (APBD) senilai miliaran.

Beberapa tempat permainan anak-anak tersedia di kota beriman ini.
menurut hemat ku: sangat cocok untuk mengajak anak-anak kesini.

Di taman bermain juga tersedia banyak fasilitas bermain anak, diantaranya: ayunan-kuda pegas-perosotan-play house."
Abang Thoyib,"Indah dan nyaman. Sesuai dengan slogan Jombang ""BERIMAN"". Sekarang jadi tempat healing gratis yang menyenangkan, terdapat beberapa renovasi yang lebih aware terhadap pengunjung terutama anak-anak. Ada wahana bermain, kebersihan terjaga, dan sudah tidak ada PKL yang berjualan di area alun2 Jombang. Sebagai warna Jombang tentunya ikut bangga.

#momen upacara hari lahirnya Pancasila (1 Juni)"
Zainal Surabaya,"Tempat nya luas , nyaman , untuk bermain anak2 tapi ga tau kenapa area mainannya selalu di kunci, jadi setiap ke sana, mw main di aren bermain harus melompat pagar.
Usahakan kalo kesini jangan siang, karena panas sekali"
ivin karisma,Makin bagus alun-alun kota jombang ini. Taman bermainnya juga makin lengkap ada penjaganya jadi klau ada anak yg tersesat kepisah dr ortunya ada call centernya. Mantepnya free wifi cuy jadi buat nongki mantep bgt. Dulu sering badminton disekitar lapangan situ masih aman si soalnya emg luas bgt.
Mohamad Iqbal,"MasyaAllah.
Alun-alun nya making bagus.
Cocok untuk tempat bermain anak, karena banyak wahana bermain disini.

Untuk wahana bermain yang ada dalam Pagar wajib Jaga kebersihan Dan tidak boleh membawa makanan, agar tidak ada sampah berserakan.

Semoga warga jombang bisa menjaga kondisi alun-alun Dan wahana bermain tetap Bersih agar bisa tahan lama untuk dinikmati"
Adinia Ummul choiroh,"Ramai banget kalau weekend atau weekday. Ada taman bermain anak dan ruang terbuka untuk sekedar santai. Strategis sekali sih, dekat dengan stasiun, masjid, dan swalayan (alfamart d stasiun). Akan jadi tempat yg sering saya kunjungi selama d jombang ini. Suasana nya enak untuk sekedar rehat dan berbagi cerita sama temen."
Muhammad Firmansyah,"Tempatnya bagus, indah , nyaman..cuman pengamen nya lbih di kontrol lgi biar pengunjung lbih nyaman di alun"" jbg.."
Ajeng RFirdausi,"Sekarang tempatnya menjadi nyaman baik untuk anak² dan orang dewasa
Sangat nyaman sekali untuk menikmati waktu luang / bersama keluarga"
Dayu Laksono,"Alun-alun Jombang menurut literasi sejarah, dahulu adalah sebuah pasar kota. Namun semenjak era pra kemerdekaan pemerintah setempat memindah pasar tersebut ke wilayah yang kini kita sebut dengan Pasar Citra Niaga. Salah satu peninggalan jaman Belanda adalah terdapat seperti tower sirine, dahulu tower tersebut di gunakan atau di bunyikan saat situasi mulai memanas seperti perang, namun saat ini sirine berfungsi untuk pertanda Sahur atau Imsak saat bulan ramadhan.

Alun-alun Jombang sendiri terletak pada tempat yang sangat strategis di mana tepat di depan stasiun kereta api Jombang dan jalur antar provinsi ke arah Jawa Tengah.

Pada sekitar Alun-alun juga terdapat masjid Agung Baitul Mukminin Jombang, SMPN 2 Jombang dan Pendopo Bupati Jombang.

Beberapa tahun terakhir memang pemerintah setempat merenovasi Alun-alun secara total, sperti tiang bendera yang kini tempatnya berbeda, tempat playground anak, lajur jogging, tempat berolahraga lainya, kursi santai pada sekeliling lapangan, pohon-pohon bonsai, dan tempat parkir yang lebih luas.

Cukup menyenangkan dan nyaman jika datang bersama keluarga.

Selamat happy weekend bersama keluarga dan teman-teman."
sayyef ahmad,Disiang hari yg panas tmpt ini jd pilihan alternatif berteduh & bersantai sejenak sambil makan minum di spnjang trotoar alun2....sore mnjelang malam sangat ramai pengunjung yg sbagian besar warga sekitar/plancong yg istirahat mnghilangkan lelah...disini jg ada tmpat bermain anak cocok bg kluarga yg ingin bersantai dgn kluarga...
uy,"Alun-alun yang strategis dekat dengan masjid, stasiun, dan halte. Tempatnya bersih, nyaman, dan rindang serta banyak sangkar burung yang disediakan menambah suasana yang tentram. Disediakan tempat bermain terbuka dan juga banyak tempat duduk di sekeliling untuk menunggu buah hati yang sedang bermain atau hanya sekedar bersantai. Bagi yang ingin mengelilingi alun-alun bisa menyewa scooter ataupun dokar di sekitar alun-alun. Aneka streetfood juga banyak dijual mulai dari makanan hingga minuman."
Anggoro Prastyo,"Saat malam tiba, alun-alun ini bertransformasi menjadi surga kuliner. Berbagai macam jajanan dan makanan khas Jombang bisa ditemukan di sini, mulai dari angkringan, bakso, hingga sate, sangat cocok untuk bersantap bersama keluarga atau teman."
Siti Nurlaila,Tempat yang asyik buat melepas penat setelah berjibaku dengan beberapa kegiatan dikantor
Mochammad Dyan,"Pesona Keindahan Wisata Alun – Alun Jombang

informasi umum

Wisata Alun – Alun Jombang , adalah salah satu tempat wisata taman , yang berada di desa jombatan , kecamatan jombang , kabupaten jombang , provinsi jawa timur , negara Indonesia . Wisata Alun – Alun Jombang , adalah Tempat wisata yang ramai wisatawan pada hari hari biasa maupun pada weekand atau hari libur. Tempat sangat indah dan bisa memberikan suasana yang menghibur kejenuhan akan aktivitas kita sehari hari. Harga tiket masuk ke Wisata Alun – Alun Jombang , terbilang sangat murah, tetapi jangan salah menilai pesona keindahan yang di hidangkan oleh Wisata Alun – Alun Jombang . bukanlah hal yang murahan. Sangat di sayangkan jika anda berada di kota jombang , tidak menggunjungi wisata taman yang mempunyai pesona keindahan yang tiada duanya . Wisata Alun – Alun Jombang , sangat cocok untuk mengisi kegiatan liburan anda, apalagi saat liburan panjang seperti libur nasional, Hari libur Lebaran, Hari libur Kemerdekaan, Hari libur nyepi, Hari libur idul adha, Hari libur idul fitri, Hari libur tahun baru, Keindahan Wisata Alun – Alun Jombang , ini sangatlah cocok bagi anda semua yang berada di didekat atau di kejauhan untuk merapat menggunjungi tempat Wisata Alun – Alun Jombang di kota jombang."
Eruma Chan,"indahnya suatu masa tergantung siapa orangnya.
dan indahnya suatu tempat tergantung siapa yang menemaninya.🫂❤️
malam malam kesana abis pulang dri Surabaya mampir, beli street food sama pasangan tercinta. …"
Ahmad Faqi,"tempatnya makin luas dan nyaman, banyak fasilitas yg diperbarui"
Wendi Budianto,"Bagus nyaman,anda bisa jalan santai disekitar jogging Trak di pagi hari,parkir luasndan yang terpenting kalau datang kesini jgan nyampah sembarangan okeh...!"
inayah 29,"Disini tempatnya luas banget, banyak wahana permainan, ada tempat duduk dan lesehan juga.. Cocok banget buat piknik tipis² bareng keluarga, pacar, pasangan, teman²"
Adi Wijaya,"Berubah sangat drastis dari terakhir kami berkunjung ke sini. Best evolution ever, lingkungan jadi super bersih, lebih fresh dan tampilannya kekinian. Dengan fasilitas ruang bermain anak-anak yang mumpuni.

Meski masih banyak kekurangan di sana-sini, misal penjual asongan yang berkeliaran di area alun-alun yang tidak teratur. tapi ide revolusioner ini perlu didukung

Bravo pemkab Jombang"
muchammad taufik,"Tempatnya luas.. Cocok buat acara week end keluarga, terutama yg punya anak kecil..
Mau kulineran, ada si seberang jalan..
Ruame puoolll"
Fahmi izar,"- Tempat luas
- Cukup banyak pohon/tanaman
- lampu2 hiasan cukup bagus
- Penjagaan security tidak ada, sehingga msh banyak motor masuk ke dalam alun2 meskipun sudah ditutup dan banyak pasangan pacaran di remang2 malam
- Diperbersih lagi"
anisa aszahra,"Lama ga main ke kota jombang baru tau di alun-alun ada playground nya 😍
Sangat berterima kasih sekali kepada Bupati Jombang, sudah menyediakan arena bermain gratis untuk anak yang ga kaleng2.. Bagus, luas dan safety 👍🏻👍🏻👍🏻
Buat yg mau kesini jgn berangkat terlalu malem, karna jam 21.00 arena sudah mulai di tutup. Wajar menurut saya, mengajarkan anak waktunya istirahat 👍🏻"
Eddy S.,"Lingkungan alun-alun lumayan bersih, kalau hari minggu banyak yang berolah raga.
Dekat dengan kantor pemerintah daerah, kawasan stasiun KA dan masjid agung Jombang, suasana enak dan nyaman."
Khoirul Umuludin (Khoy),"Alun-alun Kabupaten Jombang adalah tempat yang indah dan nyaman untuk bersantai dan menghabiskan waktu bersama keluarga atau teman. Area hijau yang luas dikelilingi oleh pedagang kaki lima yang menjual berbagai macam makanan dan minuman. Di tengah alun-alun terdapat masjid yang megah dan menambah keindahan tempat ini.
Saya sering datang ke Alun-alun Jombang untuk berjalan-jalan, bersepeda, atau sekadar duduk-duduk sambil menikmati pemandangan. Suasana di sini sangat tenang dan damai, cocok untuk melepas penat setelah seharian beraktivitas.
Jika Anda berkunjung ke Jombang, jangan lupa untuk mampir ke Alun-alun Kabupaten Jombang. Anda tidak akan kecewa dengan keindahan dan kenyamanan tempat ini.
Berikut adalah beberapa hal yang bisa Anda lakukan di Alun-alun Kabupaten Jombang:
* Berjalan-jalan atau bersepeda di sekitar alun-alun.
* Menikmati pemandangan masjid yang megah.
* Membeli makanan dan minuman dari pedagang kaki lima.
* Bersantai di bawah pohon rindang.
* Bermain dengan anak-anak di taman bermain.
Alun-alun Kabupaten Jombang adalah tempat yang cocok untuk semua orang, baik anak-anak maupun dewasa. Saya sangat merekomendasikan tempat ini untuk Anda kunjungi.
Berikut adalah beberapa ulasan dari pengunjung lain tentang Alun-alun Kabupaten Jombang:
* ""Tempat yang indah dan nyaman untuk bersantai.""
* ""Suasana di sini sangat tenang dan damai.""
* ""Banyak pilihan makanan dan minuman yang enak.""
* ""Tempat yang cocok untuk menghabiskan waktu bersama keluarga atau teman."""
BLKK YAYASANCEMERLANGANNAJACH,"Sangat menyenangkan arena bermain anak lengkap ada toilet serta free wifi sangat pas buat ngisi waktu luang menghilangkan rasa jenuh, bersantai bersama keluarga, teman dan kolega"
syan sari,"Udah sering kesini, suka tempatnya bersih, Playground besar luas bersih, malam pun kesini juga makin syahdu dgn lampu² yg aestetic"
Azril Rezzano,"tempat asik untuk bermain, cocok untuk anak anak. ada masjid yg bersih. penjual makanan dan minuman ada👍🏻👍🏻"
Sinau Media Kids,Tempat asik untuk keluarga terutama bermain anak
Satrya Dwicaksana (Wicaksana Family),"Tempatnya bagus terawat, sayangnya pengunjungnya saja yg gk bisa jaga kebersihan. Jangan parkir dekat kandang merpati  , mobil pulang2 kena banyak kotoran merpati. Over all this is a good place. Good job Jombang"
nela erlita,Tempat bermain anak-anak yang menyenangkan 😍 …
Bima Prasetiyo,Tempat yg indah untuk menghabiskan hari Minggu anda. Cukup bayar parkir kendaraan saja sudah bisa bercanda ceria bersama anak dan istri.
budi luhur 131,"Alun-alun kota yang bersih, luas, nyaman, disediakan kusus tempat bermain anak-anak, sehingga mudah dalam pengawasan dan tidak berbahaya. Alun-alun ini bisa digunakan sebagai lapangan upacara, tempat olahraga masarakat, dan tempat rekreasi. …"
adndnt,"Tempatnya luas, nyaman, sejuk
Ada tempat bermain anak-anak dan juga ada toilet nya
Banyak yang berjualan jajanan maupun mainan disekitarnya"
Edi Wargono,Pertama kali berkunjung ke alun alun Jombang. Ada yg unik disini ada burung merpatinya. Area bermain anak. Bersebelahan dengan stasiun jombang
Nugita Suharningsih,"Bagus dan cocok dibuat santai berkumpul keluarga dan disana juga minggu pagi biasanya ada kelompok hewan"" Edukasi buat anak kecil"" ❤❤🥰, …"
duto sunan,Luas dan nyaman untuk keluarga khusus nya yang mempunyai anak kecil karena t4 bermain nya luas
I'm LIA,"Permainan baru ramah anak gratis
spot foto
tidak ada penjual disekitar jadi kalo kumpul keluarga bs dipastikan hemat banget tinggal bawah bekal dari rumah
Jangan siang karena wahana permainan ditutup"
Fellis Enricha,"Alun alun yg luas terbuka, banyak orang jualan mainan kelap kelip apalah itu gatau namanya wkwkw. Bagus alun-alunnya, ada playground buat bocil, pendopo buat duduk duduk juga ada. Tempatnya strategis, deket stasiun jombang, masjid agung, sama kantor bupati. Masuknya gratis cuman bayar parkir aja"
Anto Hood,"Alun² luas, banyak permainannya, parkir mobil 5.000, banyak pedagang kopinya. Dekat masjid agung Jombang."
Renaldy Rahmat Syachputra,"Meskipun saya hanya lihat sekilas saja, karena waktu itu buru-buru selepas pulang dari PKL ingin makan disekitaran alun-alun.. …"
Agus Zangarto,"Cocok buat jogging, ada Playground anak, dan mainan mobil remote control"
Sumali R,"Tempat olahraga outdoor nyaman bagi penduduk Jombang, Deket stasiun"
Muhammad Firdaus Rahmatullah,"Tempat ini merupakan alun-alun atau taman kota di Jombang, Jawa Timur. Tempatnya luas, rapi, bersih, tertib, terutama pasca direvitalisasi. Penataan PKL yang semakin baik sehingga tidak bejibun memenuhi tengah alun-alun. Kini dilengkapi …"
Nurul Aini,"Alun-alun kota Jombang bersih dan nyaman.
Tempatnya terawat dan up date, ada taman bermain untuk anak-anak."
RD Studio,"Naise, ada tempat bermain anak...
Sayangnya kadang pengunjung yang tidak sadar diri bawa makanan tapi meninggalkan sampah sembarangan , parkir terlalu mahal untuk acara-acara besar di alun-alun"
Ima Nurhasan,"Kayanya harus ada petugas atau tanda area untuk tidak boleh merokok karna banyak menjumpai bapak"" yg merokok sangat"" tidak nyaman karna berada di lingkup banyak anak kecil"
Lady Eka,Wah Alun-alun Jombang sekarang ini (2022) makin kece. Sepanjang jalan depan masjid Alun alun dihiasi lampu bunga yang cantik. …
Airlangga Junata,"Makin seru, makin ramai ,makin bersih .
Tapi hati-hati kalau  punya anak kecil jangan luput pengawasan ya soalnya pas musim liburan, maupun hari Sabtu Minggu ramai sekali..."
